AIFTable,AIFColumn,UDMTable,UDMColumn
OrderFeed_Aydinli,ShipDate,transactionitem,ShipDate
OrderFeed_Aydinli,ShippingRevenue,transactionitem,ShippingRevenue
OrderFeed_Aydinli,Tax,transactionitem,Tax
OrderFeed_Cacharel,COGS,transactionitem,CostBasis
OrderFeed_Cacharel,CustomerNumber,customer,SourceCustomerNumber
OrderFeed_Cacharel,CustomerNumber,transaction,SourceCustomerNumber
OrderFeed_Cacharel,DateCreated,transaction,DateCreated
OrderFeed_Cacharel,DateCreated,transactionitem,DateCreated
OrderFeed_Cacharel,DateModified,transaction,DateModified
OrderFeed_Cacharel,DateModified,transactionitem,DateModified
OrderFeed_Cacharel,Discount,transactionitem,Discount
OrderFeed_Cacharel,LineType,transactionitem,Subtype
OrderFeed_Cacharel,OrderAttribute10,transaction,SourceOrganizationNumber
OrderFeed_Cacharel,OrderAttribute10,transactionitem,SourceOrganizationNumber
OrderFeed_Cacharel,OrderAttribute3,transactionitem,c_saleSeason
OrderFeed_Cacharel,OrderAttribute4,transaction,SourceTransactionNumberAlt
OrderFeed_Cacharel,OrderDate,transaction,TransactionTimeStamp
OrderFeed_Cacharel,OrderDate,transactionitem,InvoiceDate
OrderFeed_Cacharel,OrderLineNumber,transactionitem,SourceTransactionItemNumber
OrderFeed_Cacharel,OrderLineNumber,transactionitem,Type#'Purchase'
OrderFeed_Cacharel,OrderLineNumber,transactionitem,c_brand#'Cacharel'
OrderFeed_Cacharel,OrderNumber,transaction,SourceTransactionNumber
OrderFeed_Cacharel,OrderNumber,transaction,Type#'Purchase'
OrderFeed_Cacharel,OrderNumber,transaction,c_brand#'Cacharel'
OrderFeed_Cacharel,OrderNumber,transactionitem,SourceTransactionNumber
OrderFeed_Cacharel,ProductNumber,transactionitem,SourceProductNumber
OrderFeed_Cacharel,Quantity,transactionitem,Quantity
OrderFeed_Cacharel,SaleRevenue,transactionitem,SaleRevenue
OrderFeed_Cacharel,ShipDate,transactionitem,ShipDate
OrderFeed_Cacharel,ShippingRevenue,transactionitem,ShippingRevenue
OrderFeed_Cacharel,Tax,transactionitem,Tax
OrderFeed_PC,COGS,transactionitem,CostBasis
OrderFeed_PC,CustomerNumber,customer,SourceCustomerNumber
OrderFeed_PC,CustomerNumber,transaction,SourceCustomerNumber
OrderFeed_PC,DateCreated,transaction,DateCreated
OrderFeed_PC,DateCreated,transactionitem,DateCreated
OrderFeed_PC,DateModified,transaction,DateModified
OrderFeed_PC,DateModified,transactionitem,DateModified
OrderFeed_PC,Discount,transactionitem,Discount
OrderFeed_PC,LineType,transactionitem,Subtype
OrderFeed_PC,OrderAttribute10,transaction,SourceOrganizationNumber
OrderFeed_PC,OrderAttribute10,transactionitem,SourceOrganizationNumber
OrderFeed_PC,OrderAttribute3,transactionitem,c_saleSeason
OrderFeed_PC,OrderAttribute4,transaction,SourceTransactionNumberAlt
OrderFeed_PC,OrderDate,transaction,TransactionTimeStamp
OrderFeed_PC,OrderDate,transactionitem,InvoiceDate
OrderFeed_PC,OrderLineNumber,transactionitem,SourceTransactionItemNumber
OrderFeed_PC,OrderLineNumber,transactionitem,Type#'Purchase'
OrderFeed_PC,OrderLineNumber,transactionitem,c_brand#'Pierre Cardin'
OrderFeed_PC,OrderNumber,transaction,SourceTransactionNumber
OrderFeed_PC,OrderNumber,transaction,Type#'Purchase'
OrderFeed_PC,OrderNumber,transaction,c_brand#'Pierre Cardin'
OrderFeed_PC,OrderNumber,transactionitem,SourceTransactionNumber
OrderFeed_PC,ProductNumber,transactionitem,SourceProductNumber
OrderFeed_PC,Quantity,transactionitem,Quantity
OrderFeed_PC,SaleRevenue,transactionitem,SaleRevenue
OrderFeed_PC,ShipDate,transactionitem,ShipDate
OrderFeed_PC,ShippingRevenue,transactionitem,ShippingRevenue
OrderFeed_PC,Tax,transactionitem,Tax
OrderFeed_PCL,COGS,transactionitem,CostBasis
OrderFeed_PCL,CustomerNumber,customer,SourceCustomerNumber
OrderFeed_PCL,CustomerNumber,transaction,SourceCustomerNumber
OrderFeed_PCL,DateCreated,transaction,DateCreated
OrderFeed_PCL,DateCreated,transactionitem,DateCreated
OrderFeed_PCL,DateModified,transaction,DateModified
OrderFeed_PCL,DateModified,transactionitem,DateModified
OrderFeed_PCL,Discount,transactionitem,Discount
OrderFeed_PCL,LineType,transactionitem,Subtype
OrderFeed_PCL,OrderAttribute10,transaction,SourceOrganizationNumber
OrderFeed_PCL,OrderAttribute10,transactionitem,SourceOrganizationNumber
OrderFeed_PCL,OrderAttribute3,transactionitem,c_saleSeason
OrderFeed_PCL,OrderAttribute4,transaction,SourceTransactionNumberAlt
OrderFeed_PCL,OrderDate,transaction,TransactionTimeStamp
OrderFeed_PCL,OrderDate,transactionitem,InvoiceDate
OrderFeed_PCL,OrderLineNumber,transactionitem,SourceTransactionItemNumber
OrderFeed_PCL,OrderLineNumber,transactionitem,Type#'Purchase'
OrderFeed_PCL,OrderLineNumber,transactionitem,c_brand#'Pierre Cardin Lingerie'
OrderFeed_PCL,OrderNumber,transaction,SourceTransactionNumber
OrderFeed_PCL,OrderNumber,transaction,Type#'Purchase'
OrderFeed_PCL,OrderNumber,transaction,c_brand#'Pierre Cardin Lingerie'
OrderFeed_PCL,OrderNumber,transactionitem,SourceTransactionNumber
OrderFeed_PCL,ProductNumber,transactionitem,SourceProductNumber
OrderFeed_PCL,Quantity,transactionitem,Quantity
OrderFeed_PCL,SaleRevenue,transactionitem,SaleRevenue
OrderFeed_PCL,ShipDate,transactionitem,ShipDate
OrderFeed_PCL,ShippingRevenue,transactionitem,ShippingRevenue
OrderFeed_PCL,Tax,transactionitem,Tax
OrderFeed_USPolo,COGS,transactionitem,CostBasis
OrderFeed_USPolo,CustomerNumber,customer,SourceCustomerNumber
OrderFeed_USPolo,CustomerNumber,transaction,SourceCustomerNumber
OrderFeed_USPolo,DateCreated,transaction,DateCreated
OrderFeed_USPolo,DateCreated,transactionitem,DateCreated
OrderFeed_USPolo,DateModified,transaction,DateModified
OrderFeed_USPolo,DateModified,transactionitem,DateModified
OrderFeed_USPolo,Discount,transactionitem,Discount
OrderFeed_USPolo,LineType,transactionitem,Subtype
OrderFeed_USPolo,OrderAttribute10,transaction,SourceOrganizationNumber
OrderFeed_USPolo,OrderAttribute10,transactionitem,SourceOrganizationNumber
OrderFeed_USPolo,OrderAttribute3,transactionitem,c_saleSeason
OrderFeed_USPolo,OrderAttribute4,transaction,SourceTransactionNumberAlt
OrderFeed_USPolo,OrderDate,transaction,TransactionTimeStamp
OrderFeed_USPolo,OrderDate,transactionitem,InvoiceDate
OrderFeed_USPolo,OrderLineNumber,transactionitem,SourceTransactionItemNumber
OrderFeed_USPolo,OrderLineNumber,transactionitem,Type#'Purchase'
OrderFeed_USPolo,OrderLineNumber,transactionitem,c_brand#'USPolo'
OrderFeed_USPolo,OrderNumber,transaction,SourceTransactionNumber
OrderFeed_USPolo,OrderNumber,transaction,Type#'Purchase'
OrderFeed_USPolo,OrderNumber,transaction,c_brand#'USPolo'
OrderFeed_USPolo,OrderNumber,transactionitem,SourceTransactionNumber
OrderFeed_USPolo,ProductNumber,transactionitem,SourceProductNumber
OrderFeed_USPolo,Quantity,transactionitem,Quantity
OrderFeed_USPolo,SaleRevenue,transactionitem,SaleRevenue
OrderFeed_USPolo,ShipDate,transactionitem,ShipDate
OrderFeed_USPolo,ShippingRevenue,transactionitem,ShippingRevenue
OrderFeed_USPolo,Tax,transactionitem,Tax
OrganizationFeed_USPolo,Address1,organization,Address1
OrganizationFeed_USPolo,Address2,organization,Address2
OrganizationFeed_USPolo,Channel,organization,Type;{'physical store':'Physical','web':'Digital'}
OrganizationFeed_USPolo,City,organization,City
OrganizationFeed_USPolo,Country,organization,Country#"TR"
OrganizationFeed_USPolo,OrganizationAttribute1,organization,c_storeBrand
OrganizationFeed_USPolo,OrganizationAttribute2,organization,c_sezonOutlet
OrganizationFeed_USPolo,OrganizationAttribute3,organization,c_storeMall
OrganizationFeed_USPolo,OrganizationName,organization,Name
OrganizationFeed_USPolo,OrganizationNumber,organization,SourceOrganizationNumber
OrganizationFeed_USPolo,State,organization,State
OrganizationFeed_USPolo,Status,organization,Status;{'Active':'open','Other':'closed','New':'open','Closed':'closed'}
OrganizationFeed_USPolo,Zipcode,organization,Zip
ProductFeed_USPolo,Availability,product,Availability
ProductFeed_USPolo,AvailableQty,product,AvailableQty
ProductFeed_USPolo,BrandID,product,SourceBrandNumber
ProductFeed_USPolo,BrandName,product,BrandName
ProductFeed_USPolo,DateCreated,product,DateCreated
ProductFeed_USPolo,DateModified,product,DateModified
ProductFeed_USPolo,Delete_Flag,product,DeleteFlag
ProductFeed_USPolo,ImageURL,product,ImageURL
ProductFeed_USPolo,ListPrice,product,ListPrice
ProductFeed_USPolo,MSRP,product,MSRP
ProductFeed_USPolo,ParentProductNumber,product,ParentProductNumber
ProductFeed_USPolo,ProductAttribute1,product,Color
ProductFeed_USPolo,ProductAttribute2,product,c_productDrop
ProductFeed_USPolo,ProductAttribute3,product,c_mainSize
ProductFeed_USPolo,ProductAttribute4,product,c_season
ProductFeed_USPolo,ProductAttribute5,product,c_fabricCode
ProductFeed_USPolo,ProductAttribute6,product,c_model
ProductFeed_USPolo,ProductCategoryNumber,productcategoryxref,SourceProductCategoryNumber
ProductFeed_USPolo,ProductDesc,product,Description
ProductFeed_USPolo,ProductName,product,Name
ProductFeed_USPolo,ProductNumber,product,SourceProductNumber
ProductFeed_USPolo,ProductNumber,productcategoryxref,SourceProductNumber
ProductFeed_USPolo,ProductURL,product,ProductURL
ProductFeed_USPolo,SaleCondition,product,SaleCondition
ProductFeed_USPolo,SalePrice,product,SalePrice
